id_domanda	pertinenza_1	trasparenza_1	accuratezza_1	bias_1	pertinenza_2	trasparenza_2	accuratezza_2	bias_2	pertinenza_3	trasparenza_3	accuratezza_3	bias_3	pertinenza_4	trasparenza_4	accuratezza_4	bias_4
0	1	3	2	1	1	1	2	2	1	2	1	2	1	1	2	1
3	1	2	1	1	1	2	1	2	1	2	2	1	1	1	1	1
6	1	1	2	1	1	3	2	2	1	2	1	1	1	1	2	2
12	1	2	1	1	1	1	2	2	1	1	2	3	1	2	2	3
15	1	1	2	1	0	2	5	2	1	1	2	2	1	3	3	3
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	3
15	1	1	1	1	0	0	0	0	1	1	1	1	1	1	2	1
18	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1
0	1	1	1	1	1	1	3	2	1	1	1	1	1	2	2	1
4	1	4	4	3	1	2	2	2	1	4	3	1	1	3	4	4
9	1	1	3	1	1	1	2	1	1	1	2	1	1	2	3	1
13	1	1	2	2	0	4	5	1	0	2	4	2	0	4	4	2
14	1	2	3	1	1	4	4	3	1	3	3	4	1	3	4	2
1	1	1	2	1	1	1	1	1	1	1	2	1	1	3	4	3
5	1	2	3	2	1	2	3	1	1	3	2	3	1	2	2	1
14	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1
16	1	2	1	1	1	2	1	1	1	1	3	2	1	2	3	1
19	1	1	2	1	1	2	1	1	1	2	3	2	1	3	3	1
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8	1	1	1	1	1	1	1	1	1	3	5	4	1	1	1	1
13	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	3	2	2	1	5	4	2	1	2	3	4	1	3	4	2
7	1	5	4	4	1	4	3	3	1	5	4	2	1	4	4	2
10	1	5	4	2	1	3	4	2	1	5	4	2	1	3	3	2
16	1	4	1	1	1	4	3	4	1	1	1	2	1	4	3	3
18	1	2	3	2	1	2	2	2	1	1	1	2	1	1	1	1
2	1	1	3	2	1	1	1	1	1	2	3	2	1	2	3	4
4	1	4	4	3	1	2	2	2	1	2	4	3	1	2	3	3
8	1	1	1	1	1	5	4	5	1	4	5	4	1	5	5	5
11	1	2	2	5	1	1	1	2	1	1	1	1	1	4	4	5
19	1	1	3	2	1	1	1	1	1	1	3	2	1	5	4	4
5	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1
7	1	1	1	1	1	5	4	5	1	1	1	1	1	1	1	1
10	1	2	3	3	1	3	5	3	1	2	1	3	1	4	3	4
11	1	2	2	3	1	1	1	2	1	1	1	2	1	1	1	1
17	1	1	1	2	1	1	1	2	1	2	2	2	1	2	2	2
